"I Want to Trust You, but I Don't",Lysa TerKeurst,Length: 6 hrs and 41 mins
USS Ike: Quansport Ops,Mark Wayne McGinnis,Length: 10 hrs and 18 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Magebreaker,Declan Court,Length: 12 hrs and 28 mins
Drop Dead,Lily Chu,Length: 11 hrs and 25 mins
Murder of Innocents,Irina Shapiro,Length: 7 hrs and 31 mins
Tell Me Everything,Elizabeth Strout,Length: 11 hrs
Bridesmaid Undercover,Meghan Quinn,Length: 15 hrs and 4 mins
Never Never,"Colleen Hoover,Tarryn Fisher",Length: 9 hrs and 48 mins
Confronting the Presidents,"Bill O'Reilly,Martin Dugard",Length: 16 hrs and 26 mins
Voidknight Ascension 2,"James T. Callum,K.H. Sohmer",Length: 16 hrs and 15 mins
Tress of the Emerald Sea: A Cosmere Novel (Dramatized Adaptation),Brandon Sanderson,Length: 10 hrs
"Chrysalis, Books 1-3",RinoZ,Length: 54 hrs and 41 mins
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 15 hrs and 33 mins
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins
The Boyfriend,Freida McFadden,Length: 9 hrs and 13 mins
The Masquerades of Spring,Ben Aaronovitch,Length: 4 hrs and 29 mins
The Good Folk Box Set,Penny Reid,Length: 26 hrs and 16 mins
Delicate Escape,Catherine Cowles,Length: 10 hrs and 15 mins
Master of Swords,"Marcus Sloss,Hunter Dane",Length: 11 hrs and 17 mins
Coven King 2,"Virgil Knightley,Edgar Riggs",Length: 11 hrs and 16 mins
Brothers,Alex van Halen,Length: 7 hrs and 30 mins
A Proper Facade,Esther Hatch,Length: 9 hrs and 29 mins
Whispers at the Reunion,"Elle Gray,K.S. Gray",Length: 7 hrs and 3 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 26 hrs and 19 mins
Hocus Focus,Lily Harper Hart,Length: 7 hrs and 46 mins
"The Borrowed World Box Set, Volume Three: Books 7-9",Franklin Horton,Length: 27 hrs and 52 mins
Intermezzo,Sally Rooney,Length: 16 hrs and 29 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
Creation Lake,Rachel Kushner,Length: 11 hrs and 10 mins
Star Wars: The Mask of Fear (Reign of the Empire),Alexander Freed,Length: 13 hrs
Campaign,"Alexey Osadchuk,Zachary J. Lorang - translated by",Length: 9 hrs and 1 min
Beyond Anxiety,Martha Beck,Length: 11 hrs
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins
Loving Corrections,"adrienne maree brown,Janine de Novais",Length: 6 hrs and 41 mins
We Solve Murders,Richard Osman,Length: 14 hrs
The Third Gilmore Girl,"Kelly Bishop,Amy Sherman-Palladino",Length: 7 hrs
Red Sky Mourning,Jack Carr,Length: 15 hrs and 28 mins
The Tenth Muse,A. F. Kay,Length: 12 hrs and 5 mins
Pursued,M. Sinclair,Length: 7 hrs and 8 mins
The Godfather: A Film We Can't Refuse,Paramount Pictures,Length: 8 hrs and 27 mins
Nexus (Spanish Edition),Yuval Noah Harari,Length: 20 hrs
A World Made New: A Channeled Text,Paul Selig,Length: 11 hrs and 40 mins
"I Want to Trust You, but I Don't",Lysa TerKeurst,Length: 6 hrs and 41 mins
USS Ike: Quansport Ops,Mark Wayne McGinnis,Length: 10 hrs and 18 mins
Property of a Rich Nigga 3: The Finale,Jessica N. Watkins,Length: 8 hrs and 17 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Magebreaker,Declan Court,Length: 12 hrs and 28 mins
Rebel,"Richard Fox,David Weber",Length: 22 hrs and 38 mins
Drop Dead,Lily Chu,Length: 11 hrs and 25 mins
Murder of Innocents,Irina Shapiro,Length: 7 hrs and 31 mins
Tell Me Everything,Elizabeth Strout,Length: 11 hrs
Bridesmaid Undercover,Meghan Quinn,Length: 15 hrs and 4 mins
Accidental Goblin King 4: A Royal Slice of Life LitRPG,Leon West,Length: 12 hrs and 6 mins
Never Never,"Colleen Hoover,Tarryn Fisher",Length: 9 hrs and 48 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Confronting the Presidents,"Bill O'Reilly,Martin Dugard",Length: 16 hrs and 26 mins
Homecoming,Joel Shepherd,Length: 20 hrs and 15 mins
Baskets and Beignets,Jana DeLeon,Length: 9 hrs and 39 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Renia,Karl Forshaw,Length: 12 hrs and 38 mins
The Bonus,T L Swan,Length: 14 hrs and 5 mins
Magician’s Gambit,David Eddings,Length: 11 hrs and 6 mins
"The America Falls Omnibus, Books 1-11",Scott Medbury,Length: 59 hrs and 35 mins
Gray,Lou Cadle,Length: 24 hrs and 27 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
Bodyman,Lucy Lennox,Length: 1 hr and 33 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 55 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
One Last Promise,Susan May Warren,Length: 9 hrs and 26 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
Rune Seeker 4,"C.J. Thompson,J.M. Clarke",Length: 13 hrs and 30 mins
"Truly, Madly, Deeply",L.J. Shen,Length: 15 hrs and 51 mins
Crash & Carnage,Emma Slate,Length: 9 hrs and 59 mins
The Elemental Dungeon Trilogy: A Complete Dungeon Core Box Set,Jonathan Smidt,Length: 47 hrs and 12 mins
A Friend in the Dark,Samantha M. Bailey,Length: 8 hrs and 5 mins
Good Boys 2: Unleashed,Jeremy Robinson,Length: 10 hrs and 30 mins
Beacon of War,Ben Hale,Length: 13 hrs and 44 mins
The Blackened Blade,Isla Davon,Length: 12 hrs and 17 mins
The Games Gods Play,Abigail Owen,Length: 20 hrs
Challenger,Seth Ring,Length: 14 hrs
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Length: 59 hrs and 36 mins
Her Mafia Queen,Persephone Black,Length: 7 hrs and 30 mins
Somewhere Beyond the Sea,TJ Klune,Length: 15 hrs and 48 mins
The Love Your Life Project,"Karen Ehman,Ruth Schwenk",Length: 5 hrs and 15 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
The Mercy of Gods,James S.A. Corey,Length: 14 hrs and 54 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
Cassie,Chris Philbrook,Length: 9 hrs and 46 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
You Like It Darker,Stephen King,Length: 20 hrs and 21 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Reveal,David Icke,Length: 20 hrs and 58 mins
Center Ice,Julia Connors,Length: 10 hrs and 40 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Broken,Sadie Kincaid,Length: 10 hrs and 6 mins
The Shadow of Dread,T.C. Edge,Length: 40 hrs and 46 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
The Life Impossible,Matt Haig,Length: 10 hrs and 43 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
No Democracy Lasts Forever,Erwin Chemerinsky,Length: 7 hrs and 23 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Fire & Blood (HBO Tie-in Edition),George R. R. Martin,Length: 26 hrs and 24 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
Demon's Bluff,Kim Harrison,Length: 18 hrs
Imminent,Luis Elizondo,Length: 10 hrs
Oaths of Damnation,Robbie MacNiven,Length: 10 hrs and 57 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Secrets & Sake,CJ Ravenna,Length: 9 hrs and 56 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
Shadow & Storms,Helen Scheuerer,Length: 13 hrs and 7 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 49 mins
Plague Tank,G.D. Temple,Length: 15 hrs and 29 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
By Frenzy I Ruin,Cora Reilly,Length: 13 hrs and 43 mins
Polostan,Neal Stephenson,Length: 11 hrs and 45 mins
Magic of the Damned: Complete Series,McKenzie Hunter,Length: 24 hrs and 18 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Eruption,"Michael Crichton,James Patterson",Length: 10 hrs and 32 mins
Toll of Honor,David Weber,Length: 17 hrs and 45 mins
The Hotel Avocado,Bob Mortimer,Length: 9 hrs and 20 mins
The Wrecked One,Brittney Sahin,Length: 14 hrs and 35 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
Nurturing Cognitive Resilience in Dementia,Yasmin A.,Length: 3 hrs and 15 mins
Out of the Shadows,Lunden Roberts,Length: 10 hrs and 18 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
"Mushoku Tensei: Jobless Reincarnation (Light Novel), Vol. 23",Rifujin na Magonote,Length: 8 hrs and 10 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Mushoku Tensei,Rifujin na Magonote,Length: 7 hrs and 33 mins
A False Start,Elsie Silver,Length: 9 hrs and 51 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
When He Dares,Suzanne Wright,Length: 11 hrs and 48 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
The Briar Club,Kate Quinn,Length: 15 hrs and 3 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
The 5AM Club,Robin Sharma,Length: 11 hrs and 4 mins
Blue Graffiti,Calahan Skogman,Length: 13 hrs and 8 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
Forgiving What You Can't Forget,Lysa TerKeurst,Length: 8 hrs and 20 mins
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
The Art of Power,Nancy Pelosi,Length: 10 hrs and 45 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
Bring It Out,"Ben Pilgreen,Pat Gelsinger - foreword",Length: 4 hrs and 34 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Heart of Night,Angelina J. Steffort,Length: 12 hrs and 17 mins
The Arrangement,Adriana Locke,Length: 7 hrs and 51 mins
By Any Other Name,Jodi Picoult,Length: 18 hrs and 25 mins
The Name of the Wind,Patrick Rothfuss,Length: 27 hrs and 55 mins
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Length: 8 hrs and 25 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
The Hero She Craves,Anna Hackett,Length: 4 hrs and 37 mins
The Boss + the Maid = Chemistry,Louise Bay,Length: 7 hrs and 55 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Spirit Crossing,William Kent Krueger,Length: 10 hrs and 2 mins
Shameless,Brian Tyler Cohen,Length: 4 hrs and 38 mins
Don't Believe Everything You Think,Joseph Nguyen,Length: 2 hrs and 16 mins
Bells Hells—What Doesn't Break,"Cassandra Khaw,Critical Role",Length: 15 hrs
Saved by a Poem: The Transformative Power of Words,Kim Rosen,Length: 10 hrs and 32 mins
Valley of Death,Jack Slater,Length: 10 hrs and 47 mins
Apocalypse: Regression 4,"R.A. Mejia,Charles Dean",Length: 9 hrs and 14 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
Critical Thinking for Complex Issues,Thinknetic,Length: 11 hrs and 20 mins
Woom,Duncan Ralston,Length: 3 hrs and 15 mins
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs and 17 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Other Mrs.,Mary Kubica,Length: 11 hrs and 52 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
"Think About That for a Minute!, Vol. 2: 40 Day Devotional for a Fresh Perspective",Kelly K,Length: 4 hrs and 52 mins
The Train Through Hell!,Jason Forbis,Length: 6 hrs and 23 mins
Under Your Scars,Ariel N. Anderson,Length: 19 hrs and 2 mins
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Length: 20 hrs and 23 mins
Savage Awakening 2,Adastra339,Length: 21 hrs and 52 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
